covariate_id,covariate_name,analysis_id,concept_id
441260101,condition_occurrence: Drug withdrawal,101,441260
75650101,condition_occurrence: Proteinuria,101,75650
141508101,condition_occurrence: Dermatophytosis of scalp or beard,101,141508
194133101,condition_occurrence: Low back pain,101,194133
44782549101,condition_occurrence: Disorder of vertebral column,101,44782549
79127101,condition_occurrence: Congenital spondylolisthesis,101,79127
40479707101,condition_occurrence: Neoplasm of uncertain behavior of skeletal system,101,40479707
434328101,"condition_occurrence: Nondependent cannabis abuse, episodic",101,434328
200215101,condition_occurrence: Abdominal rigidity,101,200215
436247101,condition_occurrence: Closed fracture of midcervical section of femur,101,436247
27674101,condition_occurrence: Nausea and vomiting,101,27674
193155101,condition_occurrence: Carcinoid tumor of large intestine,101,193155
198809101,condition_occurrence: Acute cholecystitis,101,198809
200528101,condition_occurrence: Ascites,101,200528
377001101,condition_occurrence: Nonruptured cerebral aneurysm,101,377001
79905101,condition_occurrence: Transient arthropathy of the ankle and/or foot,101,79905
22955101,condition_occurrence: Perforation of esophagus,101,22955
4163175101,condition_occurrence: Diagnostic dye allergy,101,4163175
442075101,condition_occurrence: Chronic glomerulonephritis associated with another disorder,101,442075
433181101,condition_occurrence: Childhood and adolescent disturbance with introversion,101,433181
252662101,condition_occurrence: Tracheobronchial disorder,101,252662
376938101,condition_occurrence: Neurofibromatosis syndrome,101,376938
440321101,condition_occurrence: Helicobacter-associated disease,101,440321
433071101,condition_occurrence: Contusion of multiple sites,101,433071
319016101,condition_occurrence: Retinal lattice degeneration,101,319016
432588101,condition_occurrence: Megaloblastic anemia due to vitamin B>12< deficiency,101,432588
435972101,condition_occurrence: Injury of pulmonary artery,101,435972
433410101,condition_occurrence: Primary syphilis,101,433410
257007101,condition_occurrence: Allergic rhinitis,101,257007
4333667101,condition_occurrence: Presbyophrenic psychosis,101,4333667
442035101,condition_occurrence: Arsenical anti-infective poisoning,101,442035
193518101,condition_occurrence: Intestinal obstruction,101,193518
380096101,condition_occurrence: Proliferative retinopathy with diabetes mellitus,101,380096
4115044101,condition_occurrence: Acute infective exacerbation of chronic obstructive airways disease,101,4115044
432738101,condition_occurrence: Chronic fatigue syndrome,101,432738
438153101,condition_occurrence: Pulsating exophthalmos,101,438153
377910101,condition_occurrence: Deviated nasal septum,101,377910
138056101,condition_occurrence: Subcutaneous emphysema resulting from a procedure,101,138056
433767101,condition_occurrence: Glaucoma of childhood,101,433767
4092217101,"condition_occurrence: Malignant neoplasm of middle lobe, bronchus or lung",101,4092217
444246101,condition_occurrence: Cirrhosis of liver not due to alcohol,101,444246
380378101,condition_occurrence: Epilepsy,101,380378
40481919101,condition_occurrence: Coronary atherosclerosis,101,40481919
438405101,"condition_occurrence: Recurrent manic episodes, moderate",101,438405
316211101,condition_occurrence: Acquired spondylolisthesis,101,316211
4150481101,"condition_occurrence: Traumatic blister of shoulder and upper arm, infected",101,4150481
196359101,condition_occurrence: Primary malignant neoplasm of uterine cervix,101,196359
379019101,condition_occurrence: Conjunctivitis,101,379019
443421101,condition_occurrence: Gallbladder and bile duct calculi,101,443421
198860101,condition_occurrence: Congenital anomaly of lower alimentary tract,101,198860
381296101,condition_occurrence: Nodular degeneration of cornea,101,381296
440548101,"condition_occurrence: Closed fracture of femur, distal end",101,440548
80004101,condition_occurrence: Injury of hand,101,80004
435093101,condition_occurrence: Closed fracture of femur,101,435093
141095101,condition_occurrence: Acne,101,141095
433143101,condition_occurrence: Primary malignant neoplasm of appendix,101,433143
4100540101,condition_occurrence: Carcinoid bronchial adenoma,101,4100540
315276101,condition_occurrence: Vitreous hemorrhage,101,315276
197925101,condition_occurrence: Hemorrhage of rectum and anus,101,197925
441593101,condition_occurrence: Arteriovenous fistula of pulmonary vessels,101,441593
198683101,condition_occurrence: Viral hepatitis B without hepatic coma,101,198683
375550101,condition_occurrence: Senile corneal changes,101,375550
439303101,condition_occurrence: Horseshoe retinal tear without detachment,101,439303
433405101,condition_occurrence: Proteus infection,101,433405
444097101,condition_occurrence: Thrombophlebitis of lower extremities,101,444097
316432101,condition_occurrence: Right bundle branch block AND left anterior fascicular block,101,316432
40490888101,condition_occurrence: Herniation of rectum into vagina,101,40490888
372913101,condition_occurrence: Impairment level: one eye: near-total impairment: other eye: not specified,101,372913
432791101,condition_occurrence: Angioedema,101,432791
195856101,condition_occurrence: Cholangitis,101,195856
436136101,condition_occurrence: Dissection of thoracic aorta,101,436136
137945101,condition_occurrence: Pressure ulcer stage 2,101,137945
437892101,condition_occurrence: Lown-Ganong-Levine syndrome,101,437892
40483342101,condition_occurrence: Acute exacerbation of bronchiectasis,101,40483342
133468101,condition_occurrence: Disorder of extremity,101,133468
194417101,condition_occurrence: Hepatic infarction,101,194417
312998101,condition_occurrence: Pain in thoracic spine,101,312998
133280101,condition_occurrence: Alopecia,101,133280
40304526101,condition_occurrence: Nocturia,101,40304526
443592101,condition_occurrence: Hyperosmolality due to uncontrolled type 1 diabetes mellitus,101,443592
140490101,condition_occurrence: Anhidrosis,101,140490
137809101,condition_occurrence: Primary malignant neoplasm of female breast,101,137809
315085101,condition_occurrence: Lymphadenopathy,101,315085
318784101,condition_occurrence: Varicose veins of lower extremity with ulcer,101,318784
372888101,condition_occurrence: Sciatic nerve lesion,101,372888
438782101,condition_occurrence: Idiopathic pulmonary hemosiderosis,101,438782
436635101,condition_occurrence: Primary malignant neoplasm of sigmoid colon,101,436635
77965101,condition_occurrence: Acquired trigger finger,101,77965
444200101,condition_occurrence: Neoplasm of nervous system,101,444200
318712101,condition_occurrence: Peripheral circulatory disorder associated with type 1 diabetes mellitus,101,318712
378427101,condition_occurrence: Tear film insufficiency,101,378427
439082101,condition_occurrence: Menopausal syndrome,101,439082
437541101,condition_occurrence: Glaucoma,101,437541
257012101,condition_occurrence: Chronic sinusitis,101,257012
319835101,condition_occurrence: Congestive heart failure,101,319835
374032101,condition_occurrence: Critical illness polyneuropathy,101,374032
4157333101,condition_occurrence: Malignant neoplasm of main bronchus,101,4157333
4323686101,condition_occurrence: Bilious vomiting,101,4323686
199775101,"condition_occurrence: Multiple endocrine neoplasia, type 3",101,199775
137785101,condition_occurrence: Verruca plantaris,101,137785
192858101,condition_occurrence: Ovarian hyperfunction,101,192858
438071101,condition_occurrence: Primary extrapulmonary coccidioidomycosis,101,438071
434008101,condition_occurrence: White blood cell disorder,101,434008
435849101,condition_occurrence: Parietoalveolar pneumopathy,101,435849
196163101,condition_occurrence: Cervicitis and endocervicitis,101,196163
255891101,condition_occurrence: Lupus erythematosus,101,255891
196943101,condition_occurrence: Red blood cell sequestration in spleen,101,196943
197717101,condition_occurrence: Open wound of anterior abdominal wall without complication,101,197717
198199101,condition_occurrence: Pyelonephritis,101,198199
374914101,condition_occurrence: Tetraplegia,101,374914
440850101,condition_occurrence: Closed skull fracture with cerebral laceration AND/OR contusion,101,440850
4173811101,condition_occurrence: Congenital quadriplegia,101,4173811
316999101,condition_occurrence: Conduction disorder of the heart,101,316999
436222101,condition_occurrence: Altered mental status,101,436222
434584101,condition_occurrence: Kaposi's sarcoma,101,434584
443792101,condition_occurrence: Calculus of bile duct,101,443792
376120101,"condition_occurrence: Keratoconjunctivitis sicca, not specified as Sjögren's",101,376120
375815101,condition_occurrence: Bullous keratopathy,101,375815
443582101,condition_occurrence: Arthropathy of joint of hand,101,443582
444445101,condition_occurrence: Benign neoplasm of skin of lower limb,101,444445
132736101,condition_occurrence: Bacteremia,101,132736
133003101,condition_occurrence: Osteomyelitis of shoulder region,101,133003
75617101,condition_occurrence: Degenerative joint disease involving multiple joints,101,75617
81303101,condition_occurrence: Labyrinthine disorder,101,81303
79108101,condition_occurrence: Arthropathy associated with another systemic disease,101,79108
437312101,condition_occurrence: Bleeding,101,437312
434767101,condition_occurrence: Open Colles' fracture,101,434767
437390101,condition_occurrence: Hypoxemia,101,437390
193522101,condition_occurrence: Acute prostatitis,101,193522
376698101,condition_occurrence: Internuclear ophthalmoplegia,101,376698
432289101,condition_occurrence: Drug-induced neutropenia,101,432289
78890101,condition_occurrence: Sprain of elbow and forearm,101,78890
312337101,condition_occurrence: Arterial embolus and thrombosis,101,312337
441153101,condition_occurrence: Closed supracondylar fracture of femur,101,441153
197332101,condition_occurrence: Incomplete uterovaginal prolapse,101,197332
78230101,condition_occurrence: Rheumatoid arthritis with organ / system involvement,101,78230
312338101,condition_occurrence: Benign hypertensive heart disease with congestive heart failure,101,312338
4299862101,condition_occurrence: Pneumonia due to Histoplasma capsulatum,101,4299862
4198962101,condition_occurrence: Amputated thumb,101,4198962
24397101,"condition_occurrence: Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",101,24397
79938101,condition_occurrence: Closed fracture of scapula,101,79938
4095167101,condition_occurrence: Malignant tumor of ureteric orifice,101,4095167
4295261101,condition_occurrence: Postmenopausal state,101,4295261
4043387101,condition_occurrence: Drug-induced acute dystonia,101,4043387
141667101,condition_occurrence: Laxity of ligament,101,141667
434883101,condition_occurrence: Carcinoma in situ of skin of eyelid including canthus,101,434883
441993101,condition_occurrence: Disorder due to and following injury to nerve,101,441993
197236101,condition_occurrence: Uterine leiomyoma,101,197236
433473101,condition_occurrence: Steroid-induced glaucoma glaucomatous stage,101,433473
200775101,condition_occurrence: Endometrial hyperplasia,101,200775
374009101,condition_occurrence: Organic mental disorder,101,374009
196068101,condition_occurrence: Carcinoma in situ of male genital organ,101,196068
441269101,condition_occurrence: Autoimmune hemolytic anemia,101,441269
441006101,condition_occurrence: Soemmerring's ring,101,441006
4117722101,condition_occurrence: Villonodular synovitis of wrist,101,4117722
133727101,condition_occurrence: Thyrotoxicosis without goiter OR other cause,101,133727
433738101,condition_occurrence: Abscess of thymus,101,433738
442575101,condition_occurrence: Enzymopathy,101,442575
434318101,condition_occurrence: Paraphrenia,101,434318
195321101,condition_occurrence: Postmenopausal bleeding,101,195321
377439101,condition_occurrence: Visual cortex injury,101,377439
440700101,condition_occurrence: Communicating hydrocephalus,101,440700
81984101,condition_occurrence: Sprain of shoulder and upper arm,101,81984
444362101,condition_occurrence: Suicidal deliberate poisoning,101,444362
441108101,condition_occurrence: Cor triatriatum,101,441108
40493424101,condition_occurrence: Abdominal rigidity of right upper quadrant,101,40493424
440404101,condition_occurrence: Stenosis of lacrimal punctum,101,440404
196048101,condition_occurrence: Primary malignant neoplasm of vagina,101,196048
442169101,condition_occurrence: Mycosis fungoides of intrapelvic lymph nodes,101,442169
256909101,condition_occurrence: Primary pulmonary coccidioidomycosis,101,256909
193186101,condition_occurrence: Cauda equina syndrome with neurogenic bladder,101,193186
133646101,condition_occurrence: Injury of digital nerve,101,133646
373166101,condition_occurrence: Benign neoplasm of mandible,101,373166
376337101,condition_occurrence: Disorder of nervous system,101,376337
443786101,condition_occurrence: Cellulitis of larynx,101,443786
4323193101,condition_occurrence: Disorder of wrist joint,101,4323193
374352101,condition_occurrence: Elephantiasis of eyelid,101,374352
439040101,condition_occurrence: Subdural hemorrhage,101,439040
440980101,condition_occurrence: Atypical manic disorder,101,440980
440422101,condition_occurrence: Noise-induced hearing loss,101,440422
376395101,condition_occurrence: Mononeuritis multiplex,101,376395
78834101,condition_occurrence: Effusion of joint of hand,101,78834
435796101,condition_occurrence: Dehydration,101,435796
440704101,condition_occurrence: Chronic pain syndrome,101,440704
316822101,condition_occurrence: Heart murmur,101,316822
141941101,condition_occurrence: Cervical spondylosis without myelopathy,101,141941
261599101,condition_occurrence: Vocal cord paralysis,101,261599
80946101,condition_occurrence: Tinea manus,101,80946
197304101,condition_occurrence: Ulcer of lower extremity,101,197304
197672101,condition_occurrence: Urinary incontinence,101,197672
440383101,condition_occurrence: Depressive disorder,101,440383
40479192101,condition_occurrence: Chronic systolic heart failure,101,40479192
192353101,condition_occurrence: Disorder of gallbladder,101,192353
438719101,condition_occurrence: Active rickets,101,438719
201905101,condition_occurrence: Constipation by outlet obstruction,101,201905
315831101,condition_occurrence: Chronic pulmonary heart disease,101,315831
78770101,condition_occurrence: Toxic labyrinthitis,101,78770
73214101,condition_occurrence: Bilateral hyperactive labyrinth,101,73214
132982101,condition_occurrence: Keloid scar,101,132982
440155101,condition_occurrence: Postartificial menopausal syndrome,101,440155
254591101,condition_occurrence: Secondary malignant neoplasm of lung,101,254591
78771101,condition_occurrence: Labyrinthine dysfunction,101,78771
138896101,condition_occurrence: Open wound of forehead without complication,101,138896
141253101,condition_occurrence: Disorder of thyroid gland,101,141253
377560101,condition_occurrence: Internal hordeolum,101,377560
194997101,condition_occurrence: Prostatitis,101,194997
440846101,"condition_occurrence: Blood coagulation disorder, categorized by value of screening test",101,440846
443601101,condition_occurrence: Chronic kidney disease stage 2,101,443601
195562101,condition_occurrence: Hemorrhoids,101,195562
141934101,condition_occurrence: Degenerative skin disorder,101,141934
437828101,condition_occurrence: Disorder of calcium metabolism,101,437828
138225101,condition_occurrence: Disorder of sebaceous gland,101,138225
375250101,condition_occurrence: Retinopathy of prematurity stage 1 - demarcation line,101,375250
438680101,condition_occurrence: Laryngeal diphtheria,101,438680
78650101,condition_occurrence: Complication of reattached upper extremity,101,78650
435227101,condition_occurrence: Nutritional deficiency disorder,101,435227
81250101,condition_occurrence: Carcinoma in situ of breast,101,81250
376124101,condition_occurrence: Pinguecula,101,376124
194382101,condition_occurrence: External hemorrhoids,101,194382
201070101,condition_occurrence: Cholelithiasis AND cholecystitis without obstruction,101,201070
26719101,condition_occurrence: Chronic laryngotracheitis,101,26719
198802101,condition_occurrence: Occlusion of ureter,101,198802
313792101,condition_occurrence: Paroxysmal tachycardia,101,313792
443545101,condition_occurrence: Nonvenomous insect bite,101,443545
201633101,condition_occurrence: Cystitis cystica,101,201633
434657101,condition_occurrence: Weakness of face muscles,101,434657
441830101,condition_occurrence: Disorder of fluid AND/OR electrolyte,101,441830
40480602101,condition_occurrence: Acute on chronic systolic heart failure,101,40480602
80269101,condition_occurrence: Mechanical complication of internal joint prosthesis,101,80269
433454101,condition_occurrence: Adjustment disorder with mixed emotional features,101,433454
435839101,condition_occurrence: Lymphedema,101,435839
439416101,condition_occurrence: Acute graft-versus-host disease,101,439416
433773101,condition_occurrence: Chronic inflammation of orbit,101,433773
381551101,condition_occurrence: Polyneuropathy due to drug,101,381551
4155297101,condition_occurrence: Malignant neoplasm of skin,101,4155297
138387101,condition_occurrence: Thyrotoxicosis,101,138387
380707101,condition_occurrence: Metamorphopsia,101,380707
439035101,condition_occurrence: Otosclerosis,101,439035
43531028101,condition_occurrence: Mononeuropathy of lower limb,101,43531028
442077101,condition_occurrence: Anxiety disorder,101,442077
312940101,condition_occurrence: Acute-on-chronic respiratory failure,101,312940
437027101,condition_occurrence: Hemorrhagic duodenitis,101,437027
432883101,"condition_occurrence: Recurrent major depressive episodes, moderate",101,432883
439691101,condition_occurrence: Adolescent emancipation disorder,101,439691
376103101,condition_occurrence: Retinopathy,101,376103
197500101,condition_occurrence: Primary malignant neoplasm of colon,101,197500
254761101,condition_occurrence: Cough,101,254761
437837101,"condition_occurrence: Single major depressive episode, moderate",101,437837
377888101,condition_occurrence: Conductive hearing loss,101,377888
374013101,condition_occurrence: Secondary parkinsonism,101,374013
433938101,condition_occurrence: Poisoning by antineoplastic AND/OR immunosuppressive drug,101,433938
4228940101,"condition_occurrence: Non-A, non-B, non-C hepatitis",101,4228940
74635101,condition_occurrence: Lumbosacral radiculopathy,101,74635
315361101,condition_occurrence: Orthopnea,101,315361
201059101,condition_occurrence: Hypertrophic gastritis,101,201059
438447101,condition_occurrence: Acute myocardial infarction of inferolateral wall,101,438447
78267101,condition_occurrence: Closed anterior dislocation of humerus,101,78267
40483538101,condition_occurrence: Atherosclerosis of bypass graft of limb,101,40483538
4148842101,"condition_occurrence: Bipolar I disorder, single manic episode, in full remission",101,4148842
312931101,condition_occurrence: Multiple mitral and aortic valve involvement,101,312931
378161101,condition_occurrence: Disorder of ear,101,378161
437534101,condition_occurrence: Psychogenic symptom of special sense organ,101,437534
439976101,condition_occurrence: Poisoning by aromatic analgesic,101,439976
4286030101,condition_occurrence: Acute necrotizing myelitis,101,4286030
381854101,condition_occurrence: Disorder of conjunctiva,101,381854
74816101,condition_occurrence: Contusion of toe,101,74816
313007101,condition_occurrence: Congenital insufficiency of mitral valve,101,313007
443449101,condition_occurrence: Acute laryngitis with obstruction,101,443449
26935101,condition_occurrence: Disorder of endocrine testis,101,26935
4029964101,condition_occurrence: Disorder of digit,101,4029964
316501101,condition_occurrence: Vascular disease of the skin,101,316501
373995101,condition_occurrence: Delirium,101,373995
4089656101,condition_occurrence: Malignant tumor of lower third of esophagus,101,4089656
132393101,condition_occurrence: Pressure ulcer stage 1,101,132393
135934101,condition_occurrence: Abdominal rigidity of periumbilical region,101,135934
138379101,"condition_occurrence: Chronic lymphoid leukemia, disease",101,138379
79121101,condition_occurrence: Aseptic necrosis of talus,101,79121
438783101,condition_occurrence: Erosion of teeth,101,438783
132344101,condition_occurrence: Gingival and periodontal disease,101,132344
378439101,condition_occurrence: Fourth nerve palsy,101,378439
443731101,condition_occurrence: Renal disorder due to type 2 diabetes mellitus,101,443731
437393101,condition_occurrence: Open fracture of upper end of radius AND ulna,101,437393
193688101,condition_occurrence: Clostridioides difficile infection,101,193688
316814101,condition_occurrence: Hyperventilation,101,316814
437777101,condition_occurrence: Meningococcal endocarditis,101,437777
4103426101,condition_occurrence: Nondependent mixed drug abuse in remission,101,4103426
319054101,condition_occurrence: Thrombophlebitis of upper extremities,101,319054
78633101,condition_occurrence: Heat cramp,101,78633
74496101,condition_occurrence: Open fracture of six ribs,101,74496
439847101,condition_occurrence: Intracranial hemorrhage,101,439847
4308509101,condition_occurrence: Impaired fasting glycaemia,101,4308509
4046263701,measurement: Enzyme measurement,701,4046263
2720510701,"measurement: Screening papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision",701,2720510
439937701,measurement: C-reactive protein abnormal,701,439937
439141701,measurement: Abnormal weight gain,701,439141
4199173701,measurement: Sickle cell disease screening test,701,4199173
436231701,measurement: Abnormal findings diagnostic imaging of liver+biliary tract,701,436231
4104132701,measurement: Vomit contains feces,701,4104132
2617406701,"measurement: Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous",701,2617406
439154701,measurement: Abnormal findings on diagnostic imaging of skull and head,701,439154
376525701,measurement: Audiogram abnormal,701,376525
437671701,measurement: Abnormal feces,701,437671
441419701,measurement: Blood gases abnormal,701,441419
437982701,measurement: Semen finding,701,437982
4010838701,measurement: Increased body growth,701,4010838
437992701,measurement: Renal function tests abnormal,701,437992
4195512701,measurement: Toxicology screening test,701,4195512
4092896701,measurement: Feces contents abnormal,701,4092896
433173701,measurement: Congenital hypogammaglobulinemia,701,433173
438262701,measurement: Chyluria,701,438262
256244701,measurement: Ophthalmic electrodiagnostic finding,701,256244
443430701,measurement: HPV - Human papillomavirus test positive,701,443430
4042557701,measurement: Alpha-fetoprotein raised,701,4042557
321414701,measurement: Hemoglobinuria,701,321414
4245252701,measurement: Raised prostate specific antigen,701,4245252
320536701,measurement: Electrocardiogram abnormal,701,320536
437677701,measurement: Abnormal findings on diagnostic imaging of lung,701,437677
2617225701,"measurement: Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, screening by cytotechnologist under physician supervision",701,2617225
4013526701,measurement: ESR raised,701,4013526
436230701,measurement: Blood chemistry abnormal,701,436230
40480893701,measurement: Nonspecific tuberculin test reaction,701,40480893
40660437701,"measurement: Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter",701,40660437
4034850701,measurement: Laboratory test,701,4034850
4059049701,measurement: Mammography abnormal,701,4059049
443709701,measurement: Atypical squamous cells of undetermined significance on anal Papanicolaou smear,701,443709
435797701,measurement: Selective immunoglobulin dysfunction,701,435797
438857701,measurement: Decrease in height,701,438857
4147565701,measurement: Body mass index less than 20,701,4147565
433033701,measurement: Abnormal cervical Papanicolaou smear,701,433033
40484102701,measurement: Abnormal finding on evaluation procedure,701,40484102
40484648701,measurement: Type 1 diabetes mellitus uncontrolled,701,40484648
435775701,measurement: Genetic anomaly of leukocyte,701,435775
444125701,measurement: Satisfactory for evaluation but limited by absence of an endocervical/transformation zone component from a patient with a cervix,701,444125
433596701,measurement: Abnormal sputum,701,433596
314617701,measurement: Basophilia,701,314617
443698701,measurement: Abnormal anal Papanicolaou smear,701,443698
4094448701,measurement: Pregnancy test negative,701,4094448
439155701,measurement: Carcinoembryonic antigen present,701,439155
433030701,measurement: False-positive serological test for syphilis,701,433030
4331508701,measurement: Increased cancer antigen 125,701,4331508
443702701,measurement: Abnormal response to nerve stimulation,701,443702
438557701,measurement: Abnormal glucose level,701,438557
40482801701,measurement: Type II diabetes mellitus uncontrolled,701,40482801
443715701,measurement: Atypical squamous cells on anal Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion,701,443715
440216701,measurement: Abnormal glucose tolerance test,701,440216
4060985701,measurement: Body mass index 30+ - obesity,701,4060985
40482701701,measurement: X-ray of gastrointestinal tract abnormal,701,40482701
4194160701,measurement: Thyroid function tests abnormal,701,4194160
4166231701,measurement: Genetic predisposition,701,4166231
435081701,measurement: Abnormal findings diagnostic imaging heart+coronary circulat,701,435081
4168553701,measurement: Electroencephalogram abnormal,701,4168553
432451701,measurement: Abnormal results function studies of central nervous system,701,432451
433877701,measurement: CSF: chemical content - general - finding,701,433877
4009585701,measurement: Abnormal urine,701,4009585
435086701,measurement: Echoencephalogram abnormal,701,435086
434169701,measurement: Abnormal findings on diagnostic imaging of breast,701,434169
320074701,measurement: Increased blood lymphocyte number,701,320074
75365701,measurement: Oliguria and anuria,701,75365
435372701,measurement: Underweight,701,435372
2617239701,"measurement: Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system and manual rescreening under physician supervision",701,2617239
443572701,measurement: Cervicovaginal cytology specimen unsatisfactory,701,443572
433441701,measurement: Ectopic production of endocrine substance,701,433441
4198132701,measurement: Hematology screening test,701,4198132
2720582701,"measurement: Wet mounts, including preparations of vaginal, cervical or skin specimens",701,2720582
438878701,measurement: Liver function tests abnormal,701,438878
437525701,measurement: Overweight,701,437525
444118701,measurement: Cytologic finding,701,444118
442282701,measurement: Urinary casts,701,442282
435651701,measurement: Atypical squamous cells on cervical Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion,701,435651
134315701,measurement: Myelophthisis,701,134315
2720583701,measurement: All potassium hydroxide (koh) preparations,701,2720583
4060266701,measurement: Antenatal RhD antibody screening,701,4060266
4060705701,measurement: Body mass index 25-29 - overweight,701,4060705
139830701,measurement: Recruitment,701,139830
40481861701,measurement: Band neutrophil count above reference range,701,40481861
443713701,measurement: Anal Papanicolaou smear positive for malignant neoplasm,701,443713
4216894701,measurement: Precipitous drop in hematocrit,701,4216894
434165701,measurement: Abnormal cervical smear,701,434165
435935701,measurement: Body substance analysis finding,701,435935
4258831701,measurement: Microscopic examination of vaginal Papanicolaou smear,701,4258831
137989701,measurement: Abnormal results of cardiovascular function studies,701,137989
135030701,measurement: Discoloration of skin,701,135030
435080701,measurement: Biliuria,701,435080
4091110701,measurement: Type 1 hypersensitivity skin test,701,4091110
436238701,measurement: Elevated levels of transaminase & lactic acid dehydrogenase,701,436238
434492701,measurement: Abnormal histology findings,701,434492
439142701,measurement: Myoglobinuria,701,439142
440072701,measurement: Hypogammaglobulinemia,701,440072
4135421701,measurement: Body mass index 20-24 - normal,701,4135421
436245701,measurement: Atypical glandular cells on vaginal Papanicolaou smear,701,436245
441969701,measurement: Radiology result abnormal,701,441969
443712701,measurement: Vaginal Papanicolaou smear positive for malignant neoplasm,701,443712
2617206701,measurement: Prostate cancer screening; prostate specific antigen test (psa),701,2617206
4060259701,measurement: A/N amniocentesis - abnormal,701,4060259
79936701,measurement: Polyuria,701,79936
434164701,measurement: Glycosuria,701,434164
4237017701,measurement: Genetic test,701,4237017
4098179701,measurement: Immunology laboratory test,701,4098179
375801101,condition_occurrence: Demyelinating disease of central nervous system,101,375801
198075101,condition_occurrence: Condyloma acuminatum of the anogenital region,101,198075
319845101,condition_occurrence: Pulmonary valve disorder,101,319845
439928101,condition_occurrence: Gangrenous disorder,101,439928
441737101,condition_occurrence: Contusion,101,441737
40479438101,condition_occurrence: Developmental dislocation of joint of shoulder region,101,40479438
201690101,condition_occurrence: Renal colic,101,201690
81390101,condition_occurrence: Idiopathic osteoporosis,101,81390
314381101,condition_occurrence: Acute febrile mucocutaneous lymph node syndrome,101,314381
73904101,"condition_occurrence: Open wound of buttock, uncomplicated",101,73904
438295101,condition_occurrence: Toxic effect of beryllium AND/OR its compounds,101,438295
440075101,"condition_occurrence: Recurrent major depressive episodes, in full remission",101,440075
4108817101,"condition_occurrence: Tricuspid valve disorder, non-rheumatic",101,4108817
195847101,condition_occurrence: Gastroparesis syndrome,101,195847
378420101,condition_occurrence: Paraneoplastic neuropathy,101,378420
381859101,condition_occurrence: Infective otitis externa,101,381859
320122101,condition_occurrence: Nutritional and metabolic cardiomyopathies,101,320122
22856101,condition_occurrence: Polyglandular dysfunction,101,22856
196160101,condition_occurrence: Fistula of intestine,101,196160
443616101,condition_occurrence: Refractory migraine without aura,101,443616
441198101,condition_occurrence: Poisoning by antacid AND/OR antigastric secretion drug,101,441198
377575101,condition_occurrence: Tinnitus,101,377575
75756101,condition_occurrence: Malignant neoplasm of posterior wall of urinary bladder,101,75756
314054101,condition_occurrence: Aortic valve disorder,101,314054
138604101,"condition_occurrence: Contusion of face, scalp and neck, excluding eye(s)",101,138604
138825101,condition_occurrence: Actinic keratosis,101,138825
136788101,condition_occurrence: Spinal stenosis of lumbar region,101,136788
313928101,condition_occurrence: Peripheral vascular complication,101,313928
436118101,condition_occurrence: After-cataract with vision obscured following extraction of cataract,101,436118
